,symbol,price_change,percent_change,last_price,high,low,volume
296,ATA/USDT,-0.0036,-5.24,0.0651,0.069,0.0642,1193759.4862
295,XVG/USDT,-0.000284,-5.25,0.005126,0.005442,0.005109,857258.336054
543,S/USDT,-0.0328,-5.269,0.5897,0.6256,0.5888,44634193.39859
335,FIDA/USDT,-0.0061,-5.291,0.1092,0.116,0.1074,5540432.40897
210,ALPHA/USDT,-0.0022,-5.301,0.0393,0.0419,0.0389,664655.4995
163,KMD/USDT,-0.0093,-5.416,0.1624,0.1732,0.1604,295100.0326
448,MAV/USDT,-0.00449,-5.481,0.07743,0.08305,0.0773,1283261.11671
494,W/USDT,-0.0058,-5.529,0.0991,0.1081,0.0991,8683822.54948
81,STX/USDT,-0.042,-5.585,0.71,0.772,0.708,4483628.7697
181,EGLD/USDT,-1.1,-5.688,18.24,19.45,18.24,2262385.0734
465,PIVX/USDT,-0.0094,-5.704,0.1554,0.1665,0.1537,290770.2198
546,ANIME/USDT,-0.00119,-5.735,0.01956,0.02129,0.01956,6117734.532367
548,1000CHEEMS/USDT,-0.000104,-5.804,0.001688,0.001834,0.00163,12818190.755681
462,MEME/USDT,-0.000158,-5.904,0.002518,0.002688,0.002518,3107949.092803
391,GMT/USDT,-0.0034,-5.965,0.0536,0.058,0.0535,6174282.19078
522,LUMIA/USDT,-0.03,-6.012,0.469,0.505,0.458,1586258.92134
544,SOLV/USDT,-0.00222,-6.102,0.03416,0.03653,0.03415,3455338.47907
561,PARTI/USDT,-0.0245,-6.495,0.3527,0.379,0.3228,57618939.2258
